de
que
a
o
e
harry
se
não
para
um
uma
os
com
do
em
ele
da
disse
é
no
rony
na
você
mas
por
as
mais
estava
como
quando
eu
era
à
ao
muito
foi
hagrid
está
dos
coisa
me
hermione
sua
seu
eles
ela
bem
das
cabeça
olhos
isso
até
ter
dumbledore
tinha
vez
perguntou
sem
então
vai
ser
lhe
só
porta
lo
agora
snape
já
parecia
weasley
pelo
dois
fazer
potter
vocês
nada
voz
lockhart
dizer
depois
todos
vamos
nunca
havia
quem
alguma
aqui
seus
tão
sr
pela
nem
dele
nos
draco
fora
lado
quase
estavam
sabe
mesmo
ainda
sala
tem
ver
grifinória
ah
tempo
tinham
casa
porque
meu
grande
enquanto
onde
sobre
escola
varinha
hogwarts
viu
duda
malfoy
tudo
antes
senhor
outra
volta
também
rosto
deu
profa
tio
alunos
todo
vou
noite
ou
dia
chão
lá
mione
válter
mão
fez
cima
alto
neville
dobby
melhor
respondeu
ficou
alguém
dursley
depressa
ninguém
fred
cara
três
hora
pode
frente
bom
dentro
acho
minha
riddle
sonserina
carro
sempre
nas
estou
jorge
estar
gina
aos
falar
olhar
outro
sei
pessoas
isto
ouviu
madame
pedra
filch
às
cada
tivesse
ano
prof
ia
quirrell
meio
percy
lugar
saiu
pouco
gritou
mesa
fazendo
exclamou
talvez
tentando
direção
claro
olhou
começou
suas
falou
ar
quadribol
ali
primeiro
sra
dar
câmara
atrás
podia
toda
corredor
assim
repente
num
livros
ficar
garoto
vassoura
poderia
sabia
coisas
chapéu
são
trouxas
tenho
mundo
nós
abriu
professor
boca
capa
embora
bruxo
sido
minerva
virou
estão
entre
vão
deles
vezes
quero
cabelos
aula
outros
quanto
contra
deve
gente
foram
mal
eram
tia
teve
mãos
ir
diário
cama
petúnia
certeza
hoje
há
saber
menos
aí
magia
correndo
los
qualquer
pai
teria
nome
pessoa
bruxos
fosse
passar
trás
livro
la
primeira
seguinte
finalmente
duas
olhando
castelo
anos
entrar
lufa
queria
parede
caminho
vida
numa
devia
mim
meia
pelos
temos
tentou
quer
vestes
aquela
realmente
janela
sentiu
logo
deixou
segundo
mcgonagall
carta
sorriso
será
nariz
voltar
família
aquele
força
sair
murta
nenhum
espelho
bateu
acha
uns
instante
time
parou
momento
menino
novo
tanto
tenha
pensar
conseguiu
passou
manhã
minutos
sangue
durante
posso
quarto
este
floresta
salão
cobra
braço
professora
voldemort
rua
pontos
cinco
goyle
mãe
alta
seguida
contar
luz
demais
essa
algum
silêncio
ouviram
pés
quatro
coruja
seria
levantou
verdade
tom
entrou
pirraça
pé
caiu
enorme
garotos
apenas
tarde
andar
murmurou
dando
continuou
deixar
estivesse
fazia
sou
olívio
boa
wood
ouvir
baixo
aconteceu
todas
favor
secreta
rúbeo
encontrar
ideia
pensou
ergueu
dela
voltou
professores
banheiro
fogo
alguns
escada
diante
desde
crabbe
atenção
quê
pelas
chegar
puxou
mesma
continuava
velho
corpo
disso
dez
naquele
slytherin
escuro
difícil
história
teto
tornou
nick
poder
costas
sim
fim
falando
chegou
pudesse
horas
maior
trem
pena
pareceu
parte
pernas
amigos
poção
razão
tirou
armário
olhe
dizendo
feito
feitiço
muita
modo
seja
dragão
jogo
cheio
granger
canino
óculos
vira
trevas
pareciam
sentou
desapareceu
esse
cair
levou
comprar
perto
entrada
contou
balaço
ponta
achou
parar
conseguia
grandes
preciso
última
jeito
apanhou
saíram
certo
pomfrey
esperando
colin
parecendo
caso
trasgo
nosso
sob
cartas
matar
poções
comunal
agarrou
medo
aranhas
biblioteca
natal
palavras
exatamente
sorte
umas
lareira
longe
campo
paredes
bruxas
mulher
ombro
pensando
correu
guarda
qual
andando
mamãe
expressão
testa
justino
aulas
vista
forte
vassouras
procurando
homem
caldeirão
